2025-09-10 18:45:17 [main] INFO  MainLogger - Inicio de la aplicación...
2025-09-10 18:45:18 [main] INFO  MainLogger - Se inició el monitor de rendimiento.
2025-09-10 18:45:19 [main] INFO  MainLogger - Se consumió la API y se recibieron 50 frases.
2025-09-10 18:45:19 [main] DEBUG main - Iniciando medición de peso de objeto tipo=java.util.ArrayList
2025-09-10 18:45:20 [main] DEBUG main - Medición completada exitosamente
2025-09-10 18:45:20 [main] DEBUG main - Iniciando medición de peso de objeto tipo=java.util.ArrayList
2025-09-10 18:45:20 [main] DEBUG main - Medición completada exitosamente
2025-09-10 18:45:20 [main] INFO  MainLogger - Se midió el peso de frasesOriginales.
2025-09-10 18:45:20 [main] INFO  main - Iniciando encriptación de frase...
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 68
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 68
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 116
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 3
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 118
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 116
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 4
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 124
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 118
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 5
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 112
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 124
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 6
